Starting training on cuda...
Epoch 1/100 - Loss: 2.5181
Epoch 2/100 - Loss: 1.7292
Epoch 3/100 - Loss: 1.5361
Epoch 4/100 - Loss: 1.3475
Epoch 5/100 - Loss: 1.1859
Epoch 6/100 - Loss: 1.0162
Epoch 7/100 - Loss: 0.8857
Epoch 8/100 - Loss: 0.8082
Epoch 9/100 - Loss: 0.7464
Epoch 10/100 - Loss: 0.6913
Epoch 11/100 - Loss: 0.6353
Epoch 12/100 - Loss: 0.5982
Epoch 13/100 - Loss: 0.5728
Epoch 14/100 - Loss: 0.5471
Epoch 15/100 - Loss: 0.5331
Epoch 16/100 - Loss: 0.5180
Epoch 17/100 - Loss: 0.5060
Epoch 18/100 - Loss: 0.4915
Epoch 19/100 - Loss: 0.4836
Epoch 20/100 - Loss: 0.4787
Epoch 21/100 - Loss: 0.4609
Epoch 22/100 - Loss: 0.4515
Epoch 23/100 - Loss: 0.4489
Epoch 24/100 - Loss: 0.4407
Epoch 25/100 - Loss: 0.4346
Epoch 26/100 - Loss: 0.4179
Epoch 27/100 - Loss: 0.4133
Epoch 28/100 - Loss: 0.4043
Epoch 29/100 - Loss: 0.3992
Epoch 30/100 - Loss: 0.4001
Epoch 31/100 - Loss: 0.3889
Epoch 32/100 - Loss: 0.3829
Epoch 33/100 - Loss: 0.3752
Epoch 34/100 - Loss: 0.3695
Epoch 35/100 - Loss: 0.3601
Epoch 36/100 - Loss: 0.3591
Epoch 37/100 - Loss: 0.3498
Epoch 38/100 - Loss: 0.3451
Epoch 39/100 - Loss: 0.3386
Epoch 40/100 - Loss: 0.3292
Epoch 41/100 - Loss: 0.3301
Epoch 42/100 - Loss: 0.3170
Epoch 43/100 - Loss: 0.3151
Epoch 44/100 - Loss: 0.3087
Epoch 45/100 - Loss: 0.2978
Epoch 46/100 - Loss: 0.2940
Epoch 47/100 - Loss: 0.2917
Epoch 48/100 - Loss: 0.2851
Epoch 49/100 - Loss: 0.2737
Epoch 50/100 - Loss: 0.2644
Epoch 51/100 - Loss: 0.2658
Epoch 52/100 - Loss: 0.2612
Epoch 53/100 - Loss: 0.2504
Epoch 54/100 - Loss: 0.2424
Epoch 55/100 - Loss: 0.2416
Epoch 56/100 - Loss: 0.2264
Epoch 57/100 - Loss: 0.2234
Epoch 58/100 - Loss: 0.2142
Epoch 59/100 - Loss: 0.2065
Epoch 60/100 - Loss: 0.2049
Epoch 61/100 - Loss: 0.1928
Epoch 62/100 - Loss: 0.1817
Epoch 63/100 - Loss: 0.1774
Epoch 64/100 - Loss: 0.1688
Epoch 65/100 - Loss: 0.1637
Epoch 66/100 - Loss: 0.1540
Epoch 67/100 - Loss: 0.1475
Epoch 68/100 - Loss: 0.1402
Epoch 69/100 - Loss: 0.1334
Epoch 70/100 - Loss: 0.1238
Epoch 71/100 - Loss: 0.1154
Epoch 72/100 - Loss: 0.1060
Epoch 73/100 - Loss: 0.0996
Epoch 74/100 - Loss: 0.0917
Epoch 75/100 - Loss: 0.0850
Epoch 76/100 - Loss: 0.0766
Epoch 77/100 - Loss: 0.0681
Epoch 78/100 - Loss: 0.0589
Epoch 79/100 - Loss: 0.0523
Epoch 80/100 - Loss: 0.0469
Epoch 81/100 - Loss: 0.0340
Epoch 82/100 - Loss: 0.0297
Epoch 83/100 - Loss: 0.0247
Epoch 84/100 - Loss: 0.0226
Epoch 85/100 - Loss: 0.0185
Epoch 86/100 - Loss: 0.0133
Epoch 87/100 - Loss: 0.0109
Epoch 88/100 - Loss: 0.0094
Epoch 89/100 - Loss: 0.0077
Epoch 90/100 - Loss: 0.0062
Epoch 91/100 - Loss: 0.0052
Epoch 92/100 - Loss: 0.0041
Epoch 93/100 - Loss: 0.0038
Epoch 94/100 - Loss: 0.0037
Epoch 95/100 - Loss: 0.0034
Epoch 96/100 - Loss: 0.0032
Epoch 97/100 - Loss: 0.0035
Epoch 98/100 - Loss: 0.0030
Epoch 99/100 - Loss: 0.0030
Epoch 100/100 - Loss: 0.0030
Phase 1 Complete. Base model saved to ./pretrained/resnet50_base.pt
Tracking data saved to ./logs/tracking_data.pt
